Hospital_Ownership,count,mean,std,min,25%,50%,75%,max
Government - Federal,45.0,4.911111111111111,1.5495193128870963,2.0,3.0,6.0,6.0,6.0
Government - Hospital District or Authority,561.0,4.208556149732621,1.5678687368078479,1.0,3.0,4.0,6.0,6.0
Government - Local,407.0,4.179361179361179,1.6293994132949419,1.0,3.0,4.0,6.0,6.0
Government - State,65.0,3.646153846153846,1.7978352367393229,1.0,2.0,3.0,6.0,6.0
Physician,68.0,5.338235294117647,1.1921421096001938,2.0,5.0,6.0,6.0,6.0
Proprietary,800.0,3.55625,1.5090336031776785,1.0,2.0,3.0,4.0,6.0
Tribal,9.0,5.222222222222222,1.5634719199411429,2.0,6.0,6.0,6.0,6.0
Voluntary non-profit - Church,343.0,3.457725947521866,1.1510699653046776,1.0,3.0,3.0,4.0,6.0
Voluntary non-profit - Other,462.0,3.6991341991341993,1.3281367354400209,1.0,3.0,3.0,4.0,6.0
Voluntary non-profit - Private,2052.0,3.7582846003898633,1.3775573110379884,1.0,3.0,3.0,4.0,6.0
