Hospital_Name,Hospital_Ownership,Hospital_Type,State,City,ZIP_Code,Hospital_overall_rating,County_Name,Location,Emergency_Services,Patient_experience_national_comparison
"MARSHALL MEDICAL CENTER SOUTH","Government - Hospital District or Authority","Acute Care Hospitals",AL,BOAZ,35957,3,MARSHALL,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",TRUE,"Same as the national average"
"DEKALB REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",AL,"FORT PAYNE",35968,3,"DE KALB","200 MED CENTER DRIVE
FORT PAYNE, AL
",TRUE,"Same as the national average"
"WEDOWEE HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",AL,WEDOWEE,36278,4,RANDOLPH,"209 NORTH MAIN STREET
WEDOWEE, AL
",TRUE,"Not Available"
"HALE COUNTY HOSPITAL","Government - Local","Acute Care Hospitals",AL,GREENSBORO,36744,"Not Available",HALE,"508 GREEN STREET
GREENSBORO, AL
",TRUE,"Not Available"
"CRESTWOOD MEDICAL CENTER",Proprietary,"Acute Care Hospitals",AL,HUNTSVILLE,35801,3,MADISON,"ONE HOSPITAL DR SE
HUNTSVILLE, AL
",TRUE,"Same as the national average"
"CHOCTAW GENERAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",AL,BUTLER,36904,"Not Available",CHOCTAW,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL
",TRUE,"Not Available"
"YUKON KUSKOKWIM DELTA REG HOSPITAL",Tribal,"Acute Care Hospitals",AK,BETHEL,99559,3,BETHEL,"PO BOX 287
BETHEL, AK
",TRUE,"Below the national average"
"NORTON SOUND REGIONAL HOSPITAL",Tribal,"Critical Access Hospitals",AK,NOME,99762,"Not Available",NOME,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK
",TRUE,"Not Available"
"KANAKANAK HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",AK,DILLINGHAM,99576,"Not Available",DILLINGHAM,"P O BOX 130
DILLINGHAM, AK
",TRUE,"Not Available"
"MANIILAQ HEALTH CENTER",Tribal,"Critical Access Hospitals",AK,KOTZEBUE,99752,"Not Available","NORTHWEST ARCTIC","PO BOX 43
KOTZEBUE, AK
",TRUE,"Not Available"
"FORT DEFIANCE INDIAN HOSPITAL","Government - Federal","Acute Care Hospitals",AZ,"FORT DEFIANCE",86504,"Not Available",APACHE,"PO BOX 649
FORT DEFIANCE, AZ
",TRUE,"Not Available"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","Voluntary non-profit - Other","Acute Care Hospitals",AZ,"TUBA CITY",86045,3,COCONINO,"PO BOX 600
TUBA CITY, AZ
",FALSE,"Below the national average"
